,login,reponum,code,star,commit,Objective-C,Clojure,Java,Go,JavaScript,Swift
0,kistleh,1,1016,0,6,0,0,0,0,0,0
0,psaniko,5,5122,2,68,0,0,0,0,0,0
0,kimroen,12,155284,390,891,0,0,0,0,57119,0
0,dashkb,20,120771,15,496,0,0,0,0,0,0
0,LewisJEllis,18,30629,3033,347,0,0,0,0,0,0
0,lindsay-stevens,12,317169,41,472,0,0,0,0,0,0
0,lattwood,12,440033,0,787,0,0,0,0,0,0
0,perseghini,14,152291,5,61,24488,0,0,0,0,0
0,mvertes,10,17635,64,134,0,0,0,0,936,0
0,marekaf,48,825514,111,522,0,0,212405,0,0,0
0,mfeckie,61,346765,226,2773,37,0,0,0,2966,0
0,mattbillenstein,9,13878,28,348,0,0,0,0,0,0
0,matthewconstantine,6,42401,61,34,0,0,0,0,1021176,0
0,matthieu-foucault,15,24721,3,81,0,0,5860,0,0,0
0,maxgashkov,0,0,0,0,0,0,0,0,0,0
0,kaplanmaxe,44,1233883,103,376,14352,0,23049,0,0,0
0,MxKaras,1,2789,0,36,0,0,0,0,0,0
0,maxzheng,24,55606,78,2063,0,0,0,0,0,0
0,cycomachead,39,253840052,45,2389,162286,0,0,0,0,0
0,michaelglass,14,3015482,18,157,0,0,0,0,0,0
0,michaelklishin,81,891553,3764,9198,0,0,0,0,0,0
0,mkopinsky,7,26079,3,194,0,0,0,0,0,0
0,michael-todorovic,2,69,0,29,0,0,0,0,0,0
0,whatthewhat,9,27652,45,208,0,0,0,0,0,0
0,mfazekas,20,58503,15,568,245777,0,0,0,0,0
0,farnasirim,33,511464,29,823,0,0,11256,0,0,0
0,morganhankins,2,5775,0,21,0,0,26926,0,0,0
0,redhoyasa,12,726692,15,251,0,0,0,0,174174,0
0,nsmith5,41,1334919,146,1296,0,0,0,0,0,0
0,nvercamm,1,45,0,1,0,0,0,0,0,0
0,nielspardon,0,0,0,0,0,0,0,0,0,0
0,orlando,28,420309,31,519,0,0,0,0,28282,0
0,ojongerius,12,319844,31,470,0,0,0,0,0,0
0,paulduran,9,426898,44,294,0,0,0,0,0,0
0,rohitpaulk,35,866438,291,47206,0,0,0,0,0,0
0,paularmand,2,157828,1,15,0,0,0,0,2744025,0
0,philippeapril,0,0,0,0,0,0,0,0,0,0
0,pdbrown,5,8528,0,41,0,0,0,0,0,0
0,Plugner,11,8484,2,40,0,0,211724,0,0,0
0,bobchao,19,208418,49,126,0,0,0,0,16550,0
0,aregee,37,603463,42,552,0,0,0,0,0,0
0,RanFeldeshKik,0,0,0,0,0,0,0,0,0,0
0,raphaelmerx,16,227677,10,92,0,0,0,0,7641,0
0,richardlt,26,1057003,46,411,10145,0,0,0,0,0
